pedon_ID,horizon,location,mean_GWC,mean_HWC,mean_VWC,mean_db
2,a,Whitlam Woods,0.4713749009015828,0.0168777632888635,0.5044753225236824,1.0667965897987302
2,b,Whitlam Woods,0.2920252985003029,0.011878927699346167,0.43296432125858864,1.4809400203374907
2,c,Whitlam Woods,0.2584296342280153,0.01683930791230241,0.4099516954118498,1.5886676130990913
3,a,Punderson Park,0.5972715114530746,0.014198539283880249,0.5271526095602685,0.884875285290813
3,b,Punderson Park,0.48974409810378966,0.011231747817101066,0.5123138672110051,1.0445803936261042
3,c,Punderson Park,0.18391363978232977,0.01783226525494569,0.05227512876770123,0.16468488966606093
4,a,Potato Creek,0.2193571964380376,0.008008596943036676,0.3210869107213465,1.4616580387537021
4,b,Potato Creek,0.1657304944535482,0.010677118677762163,0.2721693617903005,1.6398067816474
4,c,Potato Creek,0.18911651028086382,0.012304318598709185,0.3267457531426755,1.7303482603886675
5,a,Shoe Factory Rd,0.3168600648957132,0.026022968290800665,0.3972507379773111,1.2575205380731593
5,b,Shoe Factory Rd,0.26182304774844334,0.02619232755342643,0.3094338870685354,1.182488479301461
5,c,Shoe Factory Rd,0.18391363978232977,0.023129462899720725,0.05227512876770123,0.18262342014167457
6,a,Pecatonica,0.35740967263434287,0.029276455985550228,0.4475515595002374,1.262131446712761
6,b,Pecatonica,0.198579881656805,NaN,0.031651791943301456,0.1593907282007729
6,c,Pecatonica,0.19725746709748634,0.04507124164001196,0.03147573906797122,0.10140645619021954
7,b,Black River Falls,0.14194659428557327,0.004465778634659503,0.2540191486907778,1.7886133786527239
7,c,Black River Falls,0.16456703012472332,0.0035840659881689165,0.28922972375682626,1.758432885738968
7,e,Black River Falls,0.11647266445712302,0.005069894302905081,0.15425585267030764,1.3380018525098414
7,o,Black River Falls,0.4316644113667131,NaN,0.020057452582266936,0.0464653838818032
8,a,Fox Coulee,0.35219696703964826,0.028805084943935834,0.4116283894626141,1.1711707944588023
8,b,Fox Coulee,0.40294408806351556,0.021788759387849996,0.4870796217470038,1.2118306251898345
8,c,Fox Coulee,0.17241595191886344,0.009917704156994514,0.034632115618534874,0.13022882692285637
9,a,Great Bluffs,0.26414164038213805,0.014460597022300717,0.3831245905996225,1.4495020068856617
9,b,Great Bluffs,0.24003740930530454,0.026908104285902096,0.36593847657928924,1.5236957186319782
9,c,Great Bluffs,0.16942235981144005,0.03225806451612901,0.030281094556801644,0.12562001415081828
10,a,Blue mounds,0.28484181510844,0.16629075251179007,0.3139609610055987,0.8421520729435593
10,b,Blue mounds,0.3033528070841178,0.02737985940748458,0.3248594723355663,1.0722458454637138
11,a,Good Soldier,0.251215897941295,0.046597358351362965,0.2678518746095831,1.0634432016972015
11,b,Good Soldier,0.2993364589076426,0.04153420029603695,0.38522045816307765,1.2839284693726958
11,c,Good Soldier,0.3788692175899481,0.07792887029288655,0.04171195624788665,0.07909175424211137
12,a,Cottonwood,0.27115225677147625,0.033824606687227934,0.38396293762500466,1.4201598609972879
12,b,Cottonwood,0.16407066706453075,0.036851694000677934,0.25737253679230637,1.568966458002612
12,c,Cottonwood,0.13965218305049112,0.044396211523283616,0.033424895901984546,0.15153751244050606
13,a,Stagebarn,0.3727409758571235,0.020031985348442864,0.30473914372639566,0.8660124772197156
